original_image,original_excerpt,Cary_image,Cary_excerpt
"V01, c09(3)","...tra gli avelli fiamme erano sparte,\\per le quali eran s\`{\i} del tutto accesi,\\che ferro più non chiede verun’arte.","B01, c09(3)","...'midst the graves were scattered flames,\\Wherewith intensely all throughout they burn'd,\\That iron for no craft there hotter needs."
"V01, c10",...el s’ergea col petto e con la fronte\\com’avesse l’inferno a gran dispitto.,"B01, c10","...his breast and forehead there\\Erecting, seem'd as in high scorn he held\\E'en hell. …"
"V01, c11","ci raccostammo, in dietro, ad un coperchio\\d’un grand’avello, …","B01, c11","...behind the lid\\Of a great monument we stood retir'd,"
"V01, c12(1)",...su la punta de la rotta lacca\\l’infamia di Creti era distesa,"B01, c12(1)","At point of the disparted ridge lay stretch'd\\The infamy of Crete, …"
"V01, c12(2)","...in traccia\\corrien centauri, armati di saette,\\come solien nel mondo andare a caccia.","B01, c12(2)","On trail ran Centaurs, with keen arrows arm'd,\\As to the chase they on the earth were wont."
"V01, c12(3)","Dintorno al fosso vanno a mille a mille,\\saettando qual anima si svelle\\del sangue…","B01, c12(3)","...Around\\The foss these go by thousands, aiming shafts\\At whatsoever spirit dares emerge"
"V01, c13(1)","Quivi le brutte Arpie lor nidi fanno,","B01, c13(1)","Here the brute Harpies make their nest, …"
"V01, c13(2)","...porsi la mano un poco avante,\\e colsi un ramicel da un gran pruno;","B01, c13(2)","...a little stretching forth my hand,\\From a great wilding gather'd I a branch,"
"V01, c13(3)","...ecco due da la sinistra costa,\\nudi e graffiati, fuggendo sì forte,\\che de la selva rompieno ogni rosta.","B01, c13(3)","...lo! there came\\Two naked, torn with briers, in headlong flight,\\That they before them broke each fan o' th' wood."
"V01, c14","Sovra tutto ’l sabbion, d’un cader lento,\\piovean di foco dilatate falde,","B01, c14","O'er all the sand fell slowly wafting down\\Dilated flakes of fire, …"
"V01, c15","fui conosciuto da un, che mi prese\\per lo lembo …","B01, c15","I was agniz'd of one, who by the skirt\\Caught me, …"
"V01, c16","...vidi per quell’aere grosso e scuro\\venir notando una figura in suso,\\maravigliosa ad ogne cor sicuro,","B01, c16","...through the gross and murky air I spied\\A shape come swimming up, that might have quell'd\\The stoutest heart with wonder,"
"V01, c17","...i’ era\\ne l’aere d’ogne parte, e vidi spenta\\ogne veduta fuor che de la fera.","B01, c17","...round me on each part\\The air I view' d, and other object none\\Save the fell beast. …"
"V01, c18(1)","Di qua, di là, su per lo sasso tetro\\vidi demon cornuti con gran ferze,\\che li battien crudelmente di retro.","B01, c18(1)","Each divers way along the grisly rock,\\Horn'd demons I beheld, with lashes huge,\\That on their back unmercifully smote."
"V01, c18(2)",...giù nel fosso\\vidi gente attuffata in uno sterco\\che da li uman privadi parea mosso.,"B01, c18(2)","...I saw, within the foss below,\\A crowd immers'd in ordure, that appear'd\\Draff of the human body. …"
"V01, c18(3)","Taide è, la puttana …","B01, c18(3)","Thais is this, the harlot, …"
"V01, c19","...mentr’io li cantava cotai note,\\o ira o coscienza che ’l mordesse,\\forte spingava con ambo le piote. …","B01, c19","...as thus I sung, he, whether wrath\\Or conscience smote him, violent upsprang\\Spinning on either sole. …"
"V01, c21(1)","Non altrimenti i cuoci a’ lor vassalli\\fanno attuffare in mezzo la caldaia\\la carne con li uncin, …","B01, c21(1)","E'en thus the cook bestirs him, with his grooms,\\To thrust the flesh into the caldron down\\With flesh-hooks, …"
"V01, c21(2)",«Nessun di voi sia fello! …,"B01, c21(2)",Be none of you outrageous: …
"V01, c22(1)",Lo Navarrese ben suo tempo colse;,"B01, c22(1)","The spirit of Navarre chose well his time,"
"V01, c22(2)","...volse li artigli al suo compagno,\\e fu con lui sopra ’l fosso ghermito.","B01, c22(2)",...O'er the dyke\\In grapple close they join'd; …
"V01, c23(1)","...l’alta provedenza che lor volle\\porre ministri de la fossa quinta,\\poder di partirs’indi a tutti tolle.","B01, c23(1)","...that high Providence,\\Which plac'd them ministers of the fifth foss,\\Power of departing thence took from them all."
"V01, c23(2)","Elli avean cappe con cappucci bassi\\dinanzi a li occhi, …","B01, c23(2)","Caps had they on, with hoods, that fell low down\\Before their eyes, ..."
"V01, c23(3)","...a l’occhio mi corse\\un, crucifisso in terra con tre pali.","B01, c23(3)","...one had caught my eye,\\Fix' d to a cross with three stakes on the ground:"
"V01, c24","...vidivi entro terribile stipa\\di serpenti, …","B01, c24","...I saw a crowd within\\Of serpents terrible, ..."
"V01, c25","...un serpente con sei piè si lancia\\dinanzi a l’uno, e tutto a lui s’appiglia.","B01, c25","...lo! a serpent with six feet\\Springs forth on one, and fastens full upon him:"
"V01, c26",...«Dentro dai fuochi son li spirti;\\catun si fascia di quel ch’elli è inceso».,"B01, c26","Within these ardours are the spirits, each\\Swath'd in confining fire.\textquotesingle…"
"V01, c28(1)","guardommi, e con le man s’aperse il petto,\\dicendo: «Or vedi com’io mi dilacco!","B01, c28(1)","He ey'd me, with his hands laid his breast bare,\\And cried; \textquotesingle Now mark how I do rip me! …"
"V01, c28(2)","Oh quanto mi pareva sbigottito\\con la lingua tagliata ne la strozza\\Curio, ch’a dir fu così ardito!","B01, c28(2)","...Oh how terrified\\Methought was Curio, from whose throat was cut\\The tongue, which spake that hardy word. …"
"V01, c28(3)","...’l capo tronco tenea per le chiome,\\pesol con mano a guisa di lanterna;\\e quel mirava noi e dicea: «Oh me!».","B01, c28(3)","...By the hair\\It bore the sever'd member, lantern-wise\\Pendent in hand, which look'd at us and said,\\ \textquotesingle Woe's me!\textquotesingle…"
"V01, c29(1)","La molta gente e le diverse piaghe\\avean le luci mie s\`{\i} inebriate,\\che de lo stare a piangere eran vaghe.","B01, c29(1)","So were mine eyes inebriate with view\\Of the vast multitude, whom various wounds\\Disfigur'd, that they long'd to stay and weep."
"V01, c29(2)","...lo fondo, la ’ve la ministra\\de l’alto Sire infallibil giustizia\\punisce i falsador…","B01, c29(2)","...the depth, wherein\\The minister of the most mighty Lord,\\All-searching Justice, dooms to punishment\\The forgers..."
"V01, c29(3)","Io vidi due sedere a sé poggiati,\\com’a scaldar si poggia tegghia a tegghia,","B01, c29(3)","...two I mark'd, that sat\\Propp'd 'gainst each other, as two brazen pans\\Set to retain the heat. …"
"V01, c30(1)","...io vidi in due ombre smorte e nude,\\che mordendo correvan…","B01, c30(1)","...two pale and naked ghost I saw\\That gnarling wildly scamper'd, …"
"V01, c30(2)","...«Quell’è l’anima antica\\di Mirra scellerata, …","B01, c30(2)","...\textquotesingle That is the ancient soul\\Of wretched Myrrha,\textquotesingle…"
"V01, c31(1)",questi è Nembrotto per lo cui mal coto\\pur un linguaggio nel mondo non s’usa.,"B01, c31(1)","...Nimrod is this,\\Through whose ill counsel in the world no more\\One tongue prevails. …"
"V01, c31(2)","«Questo superbo volle esser esperto\\di sua potenza contra ’l sommo Giove»,","B01, c31(2)","...\textquotesingle This proud one\\Would of his strength against almighty Jove\\Make trial,\textquotesingle…"
"V01, c31(3)","Ma lievemente al fondo che divora\\Lucifero con Giuda, ci spos\`o;","B01, c31(3)","...in th' abyss,\\That Lucifer with Judas low ingulfs,\\lightly he plac'd us; …"
"V01, c32(1)","...insin là dove appar vergogna\\eran l’ombre dolenti ne la ghiaccia,","B01, c32(1)","...to where modest shame appears, thus low\\Blue pinch'd and shrin'd in ice the spirits stood,"
"V01, c32(2)","...lo presi per la cuticagna,\\e dissi: «El converrà che tu ti nomi,\\o che capel qui sù non ti rimagna».","B01, c32(2)","...seizing on his hinder scalp, I cried:\\ \textquotesingle Name thee, or not a hair shall tarry here.\textquotesingle"
"V01, c32(3)","...io vidi due ghiacciati in una buca,\\s\`{\i} che l’un capo a l’altro era cappello;","B01, c32(3)","...I beheld two spirits by the ice\\Pent in one hollow, that the head of one\\Was cowl unto the other; …"
"V01, c33(1)","...un poco di raggio si fu messo\\nel doloroso carcere, e io scorsi\\per quattro visi il mio aspetto stesso,","B01, c33(1)","...a faint beam\\Had to our doleful prison made its way,\\And in four countenances I descry'd\\The image of my own, …"
"V01, c33(2)","Gaddo mi si gittò disteso a’ piedi,\\dicendo: «Padre mio, ché non mi aiuti?».","B01, c33(2)","...Geddo at my feet\\Outstretch'd did fling him, crying, \textquotesingle Hast no help\\For me, my father!\textquotesingle..."
"V01, c33(3)","...come tu mi vedi,\\vid’io cascar li tre ad uno ad uno\\tra ’l quinto dì e ’l sesto; …","B01, c33(3)","Plainly as thou seest me, saw I the three\\Fall one by one 'twixt the fifth day and sixth:"
"V01, c34(1)",...ecco il loco\\ove convien che di fortezza t’armi».,"B01, c34(1)","…lo the place,\\Where thou hast need to arm thy heart with strength.\textquotesingle"
"V01, c34(2)",Lo duca e io per quel cammino ascoso\\intrammo a ritornar nel chiaro mondo;,"B01, c34(2)","...By that hidden way\\My guide and I did enter, to return\\To the fair world: …"
"V01, c34(3)",...quindi uscimmo a riveder le stelle.,"B01, c34(3)",Thus issuing we again beheld the stars.
"V02, c01(1)",...vidi quattro stelle\\non viste mai fuor ch’a la prima gente.,"B02, c01(1)",...I saw\\Four stars ne'er seen before save by the ken\\Of our first parents. …
"V02, c01(2)","vidi presso di me un veglio solo,","B02, c01(2)","I saw an old man standing by my side\\Alone, ..."
"V02, c02(1)","...come più e più verso noi venne\\l’uccel divino, più chiaro appariva:","B02, c02(1)","As more and more toward us came, more bright\\Appear'd the bird of God, …"
"V02, c02(2)",«In exitu Israel de Aegypto»\\cantavan tutti insieme ad una voce,"B02, c02(2)","\textquotesingle In Exitu Israel de Aegypto;\textquotesingle \\All with one voice together sang, …"
"V02, c03","da man sinistra m’appar\`{\i} una gente\\d’anime, che movieno i piè ver’ noi,","B02, c03","...I gaz'd upward round the stony height,\\Of spirits, that toward us mov'd their steps,"
"V02, c04(1)","Noi salavam per entro ’l sasso rotto,","B02, c04(1)","We through the broken rock ascended, …"
"V02, c04(2)",...ivi eran persone\\che si stavano a l’ombra dietro al sasso\\come l’uom per negghienza a star si pone.,"B02, c04(2)","...there were some, who in the shady place\\Behind the rock were standing, as a man\\Thru' idleness might stand. …"
"V02, c05(1)","...per la costa di traverso\\venivan genti innanzi a noi un poco,\\cantando «Miserere»…","B02, c05(1)","...traverse along the hill there came,\\A little way before us, some who sang\\The \textquotesingle Miserere\textquotesingle…"
"V02, c05(2)",Lo corpo mio gelato in su la foce\\trov\`o l’Archian rubesto; …,"B02, c05(2)","...My stiffen'd frame\\Laid at his mouth the fell Archiano found,"
"V02, c05(3)","«ricorditi di me, che son la Pia:\\Siena mi fé, disfecemi Maremma:","B02, c05(3)","...remember me.\\I once was Pia. Sienna gave me life,\\Maremma took it from me. …"
"V02, c07(1)","...chin\`o le ciglia,\\e umilmente ritorn\`o ver’ lui,\\e abbracci\`ol là ’ve ’l minor s’appiglia.","B02, c07(1)","...downward bent his eyes,\\And drawing near with reverential step,\\Caught him, where of mean estate might clasp\\His lord. …"
"V02, c07(2)","«Salve, Regina» in sul verde e ’n su’ fiori//quindi seder cantando anime vidi,","B02, c07(2)","\textquotesingle Salve Regina,\textquotesingle  on the grass and flowers\\Here chanting I beheld those spirits sit"
"V02, c08","fugg\`{\i} ’l serpente, e li angeli dier volta,\\suso a le poste rivolando iguali.","B02, c08",The serpent fled; and to their stations back\\The angels up retum'd with equal flight.
"V02, c09(1)","La concubina di Titone antico\\già s’imbiancava al balco d’oriente,\\fuor de le braccia del suo dolce amico;","B02, c09(1)","Now the fair consort of Tithonus old,\\Arisen from her mate's beloved arms,\\Look'd palely o'er the eastern cliff: …"
"V02, c09(2)","terribil come folgor discendesse,\\e me rapisse suso infino al foco.","B02, c09(2)","Terrible as the lightning rush'd he down,\\And snatch'd me upward even to the fire."
"V02, c09(3)","vidil seder sovra ’l grado sovrano,\\tal ne la faccia ch’io non lo soffersi;","B02, c09(3)","I mark'd him seated on the highest step,\\In visage such, as past my power to bear."
"V02, c10","...non pur Policleto,\\ma la natura lì avrebbe scorno.","B02, c10","...not there alone\\Had Polycletus, but e'en nature's self\\Been sham'd. …"
"V02, c11","quell’ombre orando, andavan sotto ’l pondo,\\simile a quel che tal volta si sogna,","B02, c11","Those spirits went beneath a weight like that\\We sometimes feel in dreams, …"
"V02, c12","O folle Aragne, s\`{\i} vedea io te\\già mezza ragna, …","B02, c12",O fond Arachne! thee I also saw\\Half spider now …
"V02, c13(1)","...vedrai gente innanzi a noi sedersi,\\e ciascuno è lungo la grotta assiso».","B02, c13(1)","...thou shalt see\\A multitude before thee seated, each\\Along the shelving grot.\textquotesingle…"
"V02, c13(2)","Savia non fui, avvegna che Sap\`{\i}a\\fossi chiamata, e fui de li altrui danni\\più lieta assai che di ventura mia.","B02, c13(2)","...Though Sapia nam'd\\In sapience I excell'd not, gladder far\\Of others' hurt, than of the good befell me."
"V02, c15","...vidi genti accese in foco d’ira\\con pietre un giovinetto ancider, …","B02, c15","...I saw\\A multitude, in fury burning, slay\\With stones a stripling youth, …"
"V02, c16(1)","...tu chi se’ che ’l nostro fummo fendi,","B02, c16(1)","...who art thou, that through our smoke dost\\cleave?..."
"V02, c16(2)","Vedi l’albor che per lo fummo raia\\già biancheggiare, …","B02, c16(2)",...Behold\\The dawn with white ray glimm'ring through the mist.
"V02, c18",...studio di ben far grazia rinverda».,"B02, c18",...Hearty zeal\\To serve reanimates celestial grace.\textquotesingle
"V02, c19(1)","Seguendo lui, portava la mia fronte\\come colui che l’ha di pensier carca,","B02, c19(1)","...I follow' d, stooping low\\My forehead, as a man, o'ercharg'd with thought,"
"V02, c19(2)","S\`{\i} come l’occhio nostro non s’aderse\\in alto, fisso a le cose terrene,\\cos\`{\i} giustizia qui a terra il merse.","B02, c19(2)","...E'en as our eyes\\Fasten'd below, nor e'er to loftier clime\\Were lifted, thus hath justice level'd us\\Here on the earth. …"
"V02, c20","No’ istavamo immobili e sospesi\\come i pastor che prima udir quel canto,","B02, c20","...We stood\\Immovably suspended, like to those,\\The shepherds, who first heard in Bethlehem's field\\That song: ..."
"V02, c23",...ecco del profondo de la testa\\volse a me li occhi un’ombra e guard\`o fiso;,"B02, c23","...lo! a spirit turn'd his eyes\\In their deep-sunken cell, and fasten'd them\\On me, …"
"V02, c24(1)","...l’ombre, che parean cose rimorte,\\per le fosse de li occhi ammirazione\\traean di me, di mio vivere accorte.","B02, c24(1)","...The shadowy forms,\\That seem'd things dead and dead again, drew in\\At their deep-delved orbs rare wonder of me,\\Perceiving I had life; …"
"V02, c24(2)","Vidi gente sott’esso alzar le mani\\e gridar non so che verso le fronde,","B02, c24(2)","Beneath it were a multitude, that rais'd\\Their hands, and shouted forth I know not What\\Unto the boughs; …"
"V02, c25","Lo duca mio dicea: «Per questo loco\\si vuol tenere a li occhi stretto il freno,\\per\`o ch’errar potrebbesi per poco».","B02, c25",...thus th' instructor warn'd:\\ \textquotesingle Strict rein must in this place direct the eyes.\\A little swerving and the way is lost.\textquotesingle
"V02, c26(1)",…«Guarda: giovi ch’io ti scaltro»;,"B02, c26(1)",...\textquotesingle Look thou well.\\Avail it that I caution thee.\textquotesingle…
"V02, c26(2)","...verso me, quanto potean farsi,\\certi si fero, sempre con riguardo\\di non uscir dove non fosser arsi.","B02, c26(2)","...to obtain what certainty they might,\\Stretch'd towards me, careful not to overpass\\The burning pale. …"
"V02, c27",giovane e bella in sogno mi parea\\donna vedere andar per una landa,"B02, c27","A lady young and beautiful, I dream'd,\\Was passing o'er a lea; …"
"V02, c28","...ecco più andar mi tolse un rio,\\che ’nver’ sinistra con sue picciole onde\\piegava l’erba che ’n sua ripa usc\`{\i}o.","B02, c28","...behold! my path\\Was bounded by a rill, which to the left\\With little rippling waters bent the grass,\\That issued from its brink. …"
"V02, c29(1)","Sotto cos\`{\i} bel ciel com’io diviso,\\ventiquattro seniori, a due a due,\\coronati venien di fiordaliso.","B02, c29(1)","...Beneath a sky\\So beautiful, came foul and-twenty elders,\\By two and two, with flower-de-luces crown'd."
"V02, c29(2)",Tre donne in giro da la destra rota\\venian danzando; …,"B02, c29(2)","...Three nymphs\\at the right wheel, came circling in smooth dance;"
"V02, c30","vidi la donna che pria m’appario\\velata sotto l’angelica festa,\\drizzar li occhi ver’ me di qua dal rio.","B02, c30","Towards me, across the stream, she bent her eyes;"
"V02, c31",La bella donna ne le braccia aprissi;\\abbracciommi la testa e mi sommerse\\ove convenne ch’io l’acqua inghiottissi.,"B02, c31","The beauteous dame, her arms expanding, clasp'd\\My temples, and immerg'd me, where 't was fit\\The wave should drench me: …"
"V02, c32","Sicura, quasi rocca in alto monte,\\seder sovresso una puttana sciolta\\m’apparve con le ciglia intorno pronte;","B02, c32","O'er it me thought there sat, secure as rock\\On mountain's lofty top, a shameless whore,\\Whose ken rov'd loosely round her. …"
"V02, c33","Io ritornai da la santissima onda\\rifatto s\`{\i} come piante novelle\\rinnovellate di novella fronda,\\puro e disposto a salire alle stelle.","B02, c33","I return'd\\From the most holy wave, regenerate,\\If 'en as new plants renew'd with foliage new,\\Pure and made apt for mounting to the stars. …"
"V03, c03","...se la mente tua ben sé riguarda,\\non mi ti celerà l’esser più bella,","B03, c03","...if thy mind observe me well, this form,\\With such addition grac'd of loveliness,\\Will not conceal me long, …"
"V03, c05","s\`{\i} vid’io ben più di mille splendori\\trarsi ver’ noi, e in ciascun s’ud\`{\i}a:","B03, c05","..so drew\\Full more than thousand splendours towards us, …"
"V03, c08","… «Il mondo m’ebbe\\giù poco tempo; e se più fosse stato,\\molto sarà di mal, che non sarebbe.","B03, c08","\textquotesingle A short date below\\The world possess'd me. Had the time been more,\\Much evil, that will come, had never chanc'd. …"
"V03, c12","a rotar cominciò la santa mola;\\e nel suo giro tutta non si volse\\prima ch’un’altra di cerchio la chiuse,","B03, c12","...straight the holy mill\\Began to wheel, nor yet had once revolv'd,\\Or ere another, circling, compass'd it,"
"V03, c14(1)","...con tanto lucore e tanto robbi\\m’apparvero splendor dentro a due raggi,","B03, c14(1)","...With such mighty sheen\\And mantling crimson, in two listed rays\\The splendours shot before me,"
"V03, c14(2)","...quella croce lampeggiava Cristo,","B03, c14(2)",…Christ\\Beam'd on that cross; ...
"V03, c16","...conveniesi a quella pietra scema\\che guarda ’l ponte, che Fiorenza fesse\\vittima ne la sua pace postrema.","B03, c16","...so was doom'd:\\On that maim'd stone set up to guard the bridge,\\At thy last peace, the victim, Florence! fell."
"V03, c18(1)","resurger parver quindi più di mille\\luci e salir, …","B03, c18(1)","Thus more than thousand twinkling lustres hence\\Seem'd reascending, …"
"V03, c18(2)","O milizia del ciel cu’ io contemplo,\\adora per color che sono in terra\\tutti sviati dietro al malo essemplo!","B03, c18(2)","Ye host of heaven! whose glory I survey!\\O beg ye grace for those, that are on earth\\All after ill example gone astray."
"V03, c19",Parea dinanzi a me con l’ali aperte\\la bella image che nel dolce frui\\liete facevan l’anime conserte;,"B03, c19","Before my sight appear'd, with open wings,\\The beauteous image, in fruition sweet\\Gladdening the thronged spirits. …"
"V03, c20","tal mi sembi\`o l’imago de la ’mprenta\\de l’etterno piacere, al cui disio\\ciascuna cosa qual ell’è diventa.","B03, c20","...such appear'd\\That image stampt by the' everlasting pleasure,\\Which fashions like itself all lovely things."
"V03, c21(1)","Già eran li occhi miei rifissi al volto\\de la mia donna, e l’animo con essi,\\e da ogne altro intento s’era tolto.","B03, c21(1)","Again mine eyes were fix'd on Beatrice,\\And with mine eyes my soul, that in her looks\\Found all contentment. …"
"V03, c21(2)","di color d’oro in che raggio traluce\\vid’io uno scaleo eretto in suso\\tanto, che nol seguiva la mia luce.","B03, c21(2)","...I saw rear'd up,\\In colour like to sun-illumin'd gold.\\A ladder, which my ken pursued in vain,\\So lofty was the summit; ..."
"V03, c26","Comincia dunque; e di’ ove s’appunta\\l’anima tua, …","B03, c26","...Say then,\\Beginning, to what point thy soul aspires:"
"V03, c27",...m’inebriava il dolce canto.\\Ci\`o ch’io vedeva mi sembiava un riso\\de l’universo; per che mia ebbrezza\\intrava per l’udire e per lo viso.,"B03, c27","...with the song\\My spirit reel'd, so passing sweet the strain:\\And what I saw was equal ecstasy;"
"V03, c28","L’incendio suo seguiva ogne scintilla;\\ed eran tante, che ’l numero loro\\più che ’l doppiar de li scacchi s’inmilla.","B03, c28","...every sparkle shivering to new blaze,\\In number did outmillion the account\\Reduplicate upon the chequer'd board."
"V03, c31(1)",In forma dunque di candida rosa\\mi si mostrava la milizia santa,"B03, c31(1)","In fashion, as a snow-white rose, lay then\\Before my view the saintly multitude,"
"V03, c31(2)","Vidi a lor giochi quivi e a lor canti\\ridere una bellezza, che letizia\\era ne li occhi a tutti li altri santi;","B03, c31(2)","...At their glee\\And carol, smil' d the Lovely One of heav'n,\\That joy was in the eyes of all the blest."
